title,released,tagline,job,roles,name,born
Something's Gotta Give,1975,null,ACTED_IN,"Julian Mercer",Keanu Reeves,1964
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,ACTED_IN,"Johnny Mnemonic",Keanu Reeves,1964
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",ACTED_IN,"Shane Falco",Keanu Reeves,1964
The Devil's Advocate,1997,Evil has its winning ways,ACTED_IN,"Kevin Lomax",Keanu Reeves,1964
The Matrix Revolutions,2003,Everything that has a beginning has an end,ACTED_IN,"Neo",Keanu Reeves,1964
The Matrix Reloaded,2003,Free your mind,ACTED_IN,"Neo",Keanu Reeves,1964
The Matrix,1999,Welcome to the Real World,ACTED_IN,"Neo",Keanu Reeves,1964
The Matrix Revolutions,2003,Everything that has a beginning has an end,ACTED_IN,"Trinity",Carrie-Anne Moss,1967
The Matrix Reloaded,2003,Free your mind,ACTED_IN,"Trinity",Carrie-Anne Moss,1967
The Matrix,1999,Welcome to the Real World,ACTED_IN,"Trinity",Carrie-Anne Moss,1967
The Matrix Revolutions,2003,Everything that has a beginning has an end,ACTED_IN,"Morpheus",Laurence Fishburne,1961
The Matrix Reloaded,2003,Free your mind,ACTED_IN,"Morpheus",Laurence Fishburne,1961
The Matrix,1999,Welcome to the Real World,ACTED_IN,"Morpheus",Laurence Fishburne,1961
V for Vendetta,2006,Freedom! Forever!,ACTED_IN,"V",Hugo Weaving,1960
Cloud Atlas,2012,Everything is connected,ACTED_IN,"Bill Smoke;Haskell Moore;Tadeusz Kesselring;Nurse Noakes;Boardman Mephi;Old Georgie",Hugo Weaving,1960
The Matrix Revolutions,2003,Everything that has a beginning has an end,ACTED_IN,"Agent Smith",Hugo Weaving,1960
The Matrix Reloaded,2003,Free your mind,ACTED_IN,"Agent Smith",Hugo Weaving,1960
The Matrix,1999,Welcome to the Real World,ACTED_IN,"Agent Smith",Hugo Weaving,1960
Speed Racer,2008,Speed has no limits,DIRECTED,null,Andy Wachowski,1967
Cloud Atlas,2012,Everything is connected,DIRECTED,null,Andy Wachowski,1967
The Matrix Revolutions,2003,Everything that has a beginning has an end,DIRECTED,null,Andy Wachowski,1967
The Matrix Reloaded,2003,Free your mind,DIRECTED,null,Andy Wachowski,1967
The Matrix,1999,Welcome to the Real World,DIRECTED,null,Andy Wachowski,1967
Ninja Assassin,2009,Prepare to enter a secret world of assassins,PRODUCED,null,Andy Wachowski,1967
V for Vendetta,2006,Freedom! Forever!,PRODUCED,null,Andy Wachowski,1967
Speed Racer,2008,Speed has no limits,WROTE,null,Andy Wachowski,1967
V for Vendetta,2006,Freedom! Forever!,WROTE,null,Andy Wachowski,1967
Speed Racer,2008,Speed has no limits,DIRECTED,null,Lana Wachowski,1965
Cloud Atlas,2012,Everything is connected,DIRECTED,null,Lana Wachowski,1965
The Matrix Revolutions,2003,Everything that has a beginning has an end,DIRECTED,null,Lana Wachowski,1965
The Matrix Reloaded,2003,Free your mind,DIRECTED,null,Lana Wachowski,1965
The Matrix,1999,Welcome to the Real World,DIRECTED,null,Lana Wachowski,1965
Ninja Assassin,2009,Prepare to enter a secret world of assassins,PRODUCED,null,Lana Wachowski,1965
V for Vendetta,2006,Freedom! Forever!,PRODUCED,null,Lana Wachowski,1965
Speed Racer,2008,Speed has no limits,WROTE,null,Lana Wachowski,1965
V for Vendetta,2006,Freedom! Forever!,WROTE,null,Lana Wachowski,1965
Ninja Assassin,2009,Prepare to enter a secret world of assassins,PRODUCED,null,Joel Silver,1952
