
[[rest-clients]]
.Neo4j REST clients contributed by the community.
[options="header"]
|===============================================================================
| name | language / framework | URL
| Java-Rest-Binding | Java | https://github.com/neo4j/java-rest-binding/
| Neo4jClient | .NET | http://hg.readify.net/neo4jclient/
| Neo4jRestNet | .NET | https://github.com/SepiaGroup/Neo4jRestNet
| py2neo | Python |  http://py2neo.org/
| Bulbflow | Python | http://bulbflow.com/
| neo4jrestclient | Python | https://github.com/versae/neo4j-rest-client
| neo4django | Django | https://github.com/scholrly/neo4django
| Neo4jPHP | PHP | https://github.com/jadell/Neo4jPHP
| neography | Ruby | https://github.com/maxdemarzi/neography
| neoid | Ruby | https://github.com/elado/neoid
| node.js | JavaScript | https://github.com/thingdom/node-neo4j
| Neocons | Clojure | https://github.com/michaelklishin/neocons
| Neo4p | Perl | http://search.cpan.org/search?query=REST::Neo4p
| Neo4j-GO | Go | https://github.com/davemeehan/Neo4j-GO
|===============================================================================


